Dean Lewis,sad,"Early mornin' there's a message on my phone
It's my mother saying ""Darlin', please come home""
I fear the worst, but how could you leave us all behind?
There's so much to say, but there's so little time


So how do I say goodbye
To someone who's been with me for my whole damn life?
You gave me my name and the colour of your eyes
I see your face when I look at mine
So how do I, how do I, how do I say goodbye?

When I couldn't, you always saw the best in me
Right or wrong, you were always on my side
But I'm scared of what life without you's like
And I saw the way she looked into your eyes


And I promise, if you go
I will make sure she's alright


So how do I say goodbye
To someone who's been with me for my whole damn life?
You gave me my name and the colour of your eyes
I see your face when I look at mine
So how do I, how do I, how do I say goodbye?


And there's no way you could ever let me down
Gonna steal some time and start again
You'll always be my closest friend
And someday we are gonna make it out
Just hold the light, just hold the light


So how do I say goodbye
To someone who's been with me for my whole damn life?
You gave me my name and the colour of your eyes
I see your face when I look at mine
So how do I, how do I, how do I say goodbye?

So how do I, how do I, how do I say goodbye?2",0
"Tori Kelly, Kirk Franklin",good-vibes,"Mmm, mmm, mmm

[Verse 1: Tori Kelly]
In my time I've travelled some roads
A rolling stone
Nowhere feels like home
I've seen people come, then they go
Life is just a story of some highs and some lows

[Pre-Chorus 1: Tori Kelly]
Tell me do you believe in miracles?
I'm standing here before your eyes
[Chorus: Tori Kelly]
I've cried many rivers
I've walked through some pain
I've seen my world crumble
And I've carried the shame
But I know somebody, He calls me His own
I can hear heaven singing out
Oh-oh-oh, you're never alone
Oh-oh-oh, you're never alone

[Verse 2: Tori Kelly]
Everybody wants to be king
We put all our hope inside material things
In Your light I now understand
That everything I have ain't everything that I am

[Pre-Chorus 2: Tori Kelly]
Oh, sometimes I feel like I'm not good enough
But that's when love says you're mine

[Chorus: Tori Kelly]
I've cried many rivers
I've walked through some pain
I've seen my world crumble
And I've carried the shame
But I know somebody, He calls me His own
I can hear heaven singing out
Oh-oh-oh, you're never alone
Oh-oh-oh, you're never alone
You might also like[Bridge: Tori Kelly]
Oh, I may have took some time
But now I realize
My imperfections were a part of Your plan
And if all things work together in the end
The broken will be beautiful

[Interlude: Kirk Franklin]
There's not a hole too deep
That God's love is not deeper still
You've come too far to give up now, heh
Let's go!

[Chorus: Tori Kelly & Choir]
I've cried many rivers
I've walked through some pain
I've seen my world crumble
And I've carried the shame
But I know somebody, He calls me His own
Can you hear heaven singing out
Oh-oh-oh, you're never alone
Oh-oh-oh, you're never alone
Oh-oh-oh, you're never alone
Oh-oh-oh, you're never alone5Embed",1
Passenger,sad,"I was born a baby boy a long time ago
Back when the hillsides were green
And the water would flow
But nights they fall and settle like snow
I watched as the hillsides turned white
With nowhere to go

Oh, think I'm gonna start a fire
Oh, think I'm gonna start a fire, oh

Now my heart's a frozen lake where streams used to flow
Down to the forest of my mind where memory would grow
Now I walk amongst the trees where the last sun glows
The leaves are all golden and brown with nowhere to go
Oh, think I'm gonna start a fire
And oh, think I'm gonna start a fire now

My skin like these boulders
Is cracking and older
With each passing year that goes
My cliff face is crumbling
Silently tumbling
Down to the water below
And if I light a match I'll be able to catch
The last sun before it goes

And oh, well I think I'm gonna start a fire
Oh, think I'm gonna start a fire
And oh, think I'm gonna start a fire nowSee Passenger LiveGet tickets as low as $76You might also like1",0
Daughtry,sad,"Now that it's all said and done
I can't believe you were the one
To build me up then tear me down
Like an old abandoned house
And what you said when you left
Just left me cold and out of breath
I fell too far, was in way too deep
Guess I let you get the best of me


Well, I never saw it coming
I should've started running
A long, long time ago
And I never thought to doubt you
I'm better off without you
More than you, more than you know
I'm slowly getting closure
I guess it's really over
I'm finally getting better
And now I'm picking up the pieces
And spending all of these years
Putting my heart back together
'Cause the day I thought I'd never get through
I got over you

You took a hammer to these walls
Dragged the memories down the hall
Packed your bags and walked away
There was nothing I could say
And when you slammed the front door shut
A lot of others opened up
So did my eyes so I could see
That you never were the best for me


Well, I never saw it coming
I should've started running
A long, long time ago
And I never thought I'd doubt you
I'm better off without you
More than you, more than you know
I'm slowly getting closure
I guess it's really over
I'm finally gettin' better
And now I'm picking up the pieces
And spending all of these years
Putting my heart back together
'Cause the day I thought I'd never get through, I got over you


Well, I never saw it coming
I should've started running
A long, long time ago
And I never thought I'd doubt you
I'm better off without you
More than you, more than you know
See Daughtry LiveGet tickets as low as $73You might also like
Well, I never saw it coming
I should've started running
A long, long time ago
And I never thought I'd doubt you
I'm better off without you
More than you, more than you know
I'm slowly getting closure
I guess it's really over
I'm finally gettin' better
And now I'm picking up the pieces
And spending all of these years
Putting my heart back together
(Woooahhh)
I'm putting my heart back together
(Woooahhh)


'Cause I got over you
(Woooahhh)
I got over you
(Woooahhh)
I got over you
'Cause the day I thought I'd never get through
I got over you8",0
Daniel Powter,good-vibes,"Where is the moment we needed the most?
You kick up the leaves and the magic is lost
They tell me your blue skies fade to gray
They tell me your passion's gone away
And I don't need no carryin' on

[Verse 2]
You stand in the line just to hit a new low
You're faking a smile with the coffee to go
You tell me your life's been way off line
You're falling to pieces every time
And I don't need no carryin' on
[Chorus]
Because you had a bad day
You're taking one down
You sing a sad song just to turn it around
You say you don't know
You tell me, don't lie
You work at a smile and you go for a ride
You had a bad day
The camera don't lie
You're coming back down and you really don't mind
You had a bad day
You had a bad day

[Verse 3]
Will you need a blue sky holiday?
The point is they laugh at what you say
And I don't need no carryin' on

[Chorus]
You had a bad day
You're taking one down
You sing a sad song just to turn it around
You say you don't know
You tell me, don't lie
You work at a smile and you go for a ride
You had a bad day
The camera don't lie
You're coming back down and you really don't mind
You had a bad day
(Ooh, a holiday)
You might also like[Bridge]
Sometimes the system goes on the blink
And the whole thing turns out wrong
You might not make it back and you know
That you could be well, oh, that strong
And I'm not wrong
(Yeah, yeah, yeah)

[Breakdown]
So where is the passion when you need it the most?
Oh, you and I
You kick up the leaves and the magic is lost

[Chorus 2]
'Cause you had a bad day
You're taking one down
You sing a sad song just to turn it around
You say you don't know
You tell me don't lie
You work at a smile and you go for a ride
You had a bad day
You've seen what you're like
And how does it feel?
One more time
You had a bad day
You had a bad day
[Outro]
Ah, yeah, yeah, yeah
Had a bad day (Ah)
Had a bad day (ah, yeah, yeah, yeah)
Had a bad day (Ah)42Embed",1
AJ Mitchell,sad,"I've been waiting for the day you say you want me back
I've been alone but baby, I can't seem to understand


You threw my heart into the flames
I took our pictures out the frames
I tried to throw 'em out but I still keep 'em just in case
If you're wondering if I still love you after so much time has passed
Since you asked

I don't really want you back
I just want the life we had
I don't really want you back
No, I don't
No, I don't really want you close
I just needed you to know
That I don't really want you back
No, I don't


And I remember all the times you said you had my back
But now we're separated, goin' down our separate paths


You threw my heart into the flames
I took our pictures out the frames
I tried to throw 'em out but I still keep 'em just in case
If you're wondering if I still love you after so much time away
Here's what I'll say


I don't really want you back
I just want the life we had
I don't really want you back
No, I don't (I don't)
And I don't really want you close
I just needed you to know (I just needed you)
That I don't really want you back
No, I don't
You might also like
But I don't wanna let you go
No, I don't wanna let you go
Oh, I don't wanna let you go
No, I don't wanna let you go


I don't really want you back
I just want the life we had
I don't really want you back
No, I don't, oh
No, I don't really want you close
I just needed you to know
That I don't really want you back
No, I don't
No, I don't


But I don't wanna let you go
No, I don't wanna let you go
No, I don't wanna let you go
No, I don't wanna let you go
No, I don't9",0
Mahogany Lox,aggressive,"I can take your man if I want to
I can take your man if I want to

[Chorus]
I can take your mans if I want to (Want to)
But lucky for you, I don't want to (Want to)
I can take your mans if I want to (Want to)
But lucky for you, I don't want to (Want to)

[Verse 1]
Why you coming at me with an attitude? (Huh?)
Slapping on my ego, now I'm mad at you (Shoo)
Now I gotta do what I gotta do (Hmm)
Kinda sad, don't even like the dude
[Pre-Chorus]
Not Mickey D's, but he's lovin' it (Lovin' it)
Tall glass of water, gotta take a sip (Take a sip)
Call him Arby's 'cause he has the meat (The meat)
Pipe down, girl, better take a seat (A seat)

[Chorus]
I can take your mans if I want to (Want to)
But lucky for you, I don't want to (Want to)
I can take your mans if I want to (Want to)
But lucky for you, I don't want to (I don't want to)

[Verse 2]
Why play tag when you know I'm it? (Tag)
You already lost, should've known to quit (Hah)
Life's a game and you're taking L's
Your man don't even like the way your coochie smells (Uh)

[Pre-Chorus]
Not Mickey D's, but he's lovin' it (Lovin' it)
Tall glass of water, gotta take a sip (Ah)
Call him Arby's 'cause he has the meat (The meat)
Pipe down, girl, better take a seat (A seat)

[Chorus]
I can take your mans if I want to (Want to)
But lucky for you, I don't want to (Want to)
I can take your mans if I want to (Want to)
But lucky for you, I don't want to (I don't want to)
You might also like[Bridge]
I'll take your man, I'll take your man, hmm
I'll take your man, I'll take your man (I'll take your man)
Hold on, my phone's ringing
It's your man

[Chorus]
I can take your mans if I want to
But lucky for you, I don't want to (do I want to?)
I can take your mans if I want to
But lucky for you, I don't want to (I think I want to)
I can take your mans if I want to
But lucky for you, I don't want to (Yeah, I want to)
I can take your mans if I want to
But lucky for you, I don't want to (I think I want to)

[Outro]
I took your man, haha, hahaha
He's mine
He ain't yours6Embed",2
Daughtry,sad,"Tonight the sunset means so much
The one thing that you know, you'll never touch
Like the feeling, the real thing
I reach out for that sweet dream
But somehow the darkness wakes me up
And I've felt this emptiness before
But all the times that I've been broken
I still run right back for more


You'd think that I'd learn my lesson by now
You'd think that I'd somehow figure out
That if you strike the match
You're bound to feel the flame

You think that I'd learn the cost of love
Paid that price long enough
But still I drive myself right through the pain
Yeah, well it turns out, I haven't learned a thing


Sometimes I think I'm better off
To turn out the lights and close up shop
And give up the longing, believing in belonging
Just hold down my head and take the loss


You'd think that I'd learn my lesson by now
You'd think that I'd somehow figure out
That if you strike the match
You're bound to feel the flame


You think that I'd learn the cost of love
Paid that price long enough
But still I drive myself right through the pain
Yeah, well it turns out, I haven't learned a thing


You'd think that I'd learn my lesson by now
You'd think that I'd somehow figure out
That if you strike that match
You're bound to feel the flame
See Daughtry LiveGet tickets as low as $73You might also like
You think that I'd learn the cost of love
Paid that price long enough
But still I drive myself right through the pain
Yeah, well it turns out, I haven't learned a thing


You'd think that I'd learn my lesson by now
You'd think that I'd somehow figure out
I haven't learned a thing
I haven't learned, I haven't learned
I haven't learned a thing",0
J. Cole,aggressive,"You good, T-Minus?

[Refrain]
Niggas been countin' me out
I’m countin' my bullets, I'm loadin’ my clips
I'm writin' down names, I'm makin' a list
I'm checkin' it twice and I'm gettin’ ’em hit
The real ones been dyin', the fake ones is lit
The game is off balance, I’m back on my shit
The Bentley is dirty, my sneakers is dirty
But that's how I like it, you all on my dick
[Verse 1]
I'm all in my bag, this hard as it get
I do not snort powder, I might take a sip
I might hit the blunt, but I'm liable to trip
I ain’t poppin' no pill, but you do as you wish
I roll with some fiends, I love 'em to death
I got a few mil' but not all of them rich
What good is the bread if my niggas is broke?
What good is first class if my niggas can't sit?
That's my next mission, that's why I can't quit
Just like LeBron, get my niggas more chips
Just put the Rollie right back on my wrist
This watch came from Drizzy, he gave me a gift
Back when the rap game was prayin' I'd diss
They act like two legends cannot coexist
But I'd never beef with a nigga for nothin'
If I smoke a rapper, it's gon' be legit
It won't be for clout, it won't be for fame
It won't be 'cause my shit ain't sellin' the same
It won't be to sell you my latest lil' sneakers
It won't be 'cause some nigga slid in my lane
Everything grows, it's destined to change
I love you lil' niggas, I'm glad that you came
I hope that you scrape every dollar you can
I hope you know money won't erase the pain
To the OGs, I'm thankin' you now
Was watchin' you when you was pavin' the ground
I copied your cadence, I mirrored your style
I studied the greats, I'm the greatest right now
Fuck if you feel me, you ain't got a choice
I ain't do no promo, still made all that noise
This year gon' be different, I set my intentions
I promise to slap all that hate out your voice
You might also like[Refrain]
Niggas been countin' me out
I'm countin' my bullets, I'm loadin' my clips
I'm writin' down names, I'm makin' a list
I'm checkin' it twice and I'm gettin' 'em hit
The real ones been dyin', the fake ones is lit
The game is off balance, I'm back on my shit
The Bentley is dirty, my sneakers is dirty
But that's how I like it, you all on my dick

[Chorus]
I just poured somethin' in my cup
I've been wantin' somethin' I can feel
Promise I am never lettin' up
Money in your palm don't make you real
Foot is on they neck, I got 'em stuck
I'ma give 'em somethin' they can feel
If it ain't 'bout the squad, don't give a fuck
Pistol in your hand don't make you real

[Verse 2]
I'm dead in the middle of two generations
I'm little bro and big bro all at once
Just left the lab with young 21 Savage
I'm 'bout to go and meet Jigga for lunch
Had a long talk with the young nigga Kodak
Reminded me of young niggas from 'Ville
Straight out the projects, no fakin', just honest
I wish that he had more guidance, for real
Too many niggas in cycle of jail
Spending they birthdays inside of a cell
We coming from a long bloodline of trauma
We raised by our mamas, Lord, we gotta heal
We hurting our sisters, the babies as well
We killing our brothers, they poisoned the well
Distorted self-image, we set up to fail
I'ma make sure that the real gon' prevail, nigga
[Chorus]
I just poured somethin' in my cup
I've been wantin' somethin' I can feel
Promise I am never lettin' up
Money in your palm don't make you real
Foot is on they neck, I got 'em stuck
I'ma give 'em somethin' they can feel
If it ain't 'bout the squad, don't give a fuck
Pistol in your hand don't make you real

[Outro]
Money in your palm don't make you real
Pistol in your hand don't make you real
Money in your palm don't make you real421Embed",2
"Wild Rivers, Wrabel",sad,"Guess we got caught up with telling a lie
Now you're leaving me lonely
I could get in my car, end up drunk at some bar
But that was the old me
Remember the night that we slept on the floor
And you told me you loved me
Bet you don't ever think 'bout that

[Chorus: Devan & Khalid Yassein, Devan]
It's kinda like a light went off
And now you're dead set on giving me up
You're talking like we're so far gone
And there ain't no use stitching it up
We could do the long haul
Wе could ride it out, I know the ride's rough
But try us
You'rе just thinking 'bout tomorrow
[Verse 2: Wrabel with Khalid Yassein, Wrabel and& Devan]
I'm on the road while you're waiting at home
But I swear I'll be right back
You'll find some man with no rock 'n' roll band
And maybe you'll like that
Remember the lake when it started to rain, babe
And I just held you
Bet you don't even think 'bout that

[Chorus: Devan, Devan, Khalid Yassein & Wrabel]
It's kinda like a light went off
And now you're dead set on giving me up
You're talking like we're so far gone
And there ain't no use stitching it up, no
We could do the long haul
We could ride it out, I know the ride's rough
But try us
You're just thinking 'bout tomorrow

[Post-Chorus: Devan, Khalid Yassein & Wrabel, Wrabel]
I'm just thinking 'bout love (Thinking 'bout, thinking 'bout love)
I'm just thinking 'bout love (Thinking 'bout, thinking 'bout love)
Oh-oh-oh-oh (Thinking 'bout, thinking 'bout)
Oh-oh-oh-oh (Thinking 'bout love)

[Chorus: Devan, Wrabel, Devan, Khalid Yassein & Wrabel]
It's kinda like a light went off
And now you're dead set on giving me up
Talking like we're so far gone
And there ain't no use stitching it up, I know
We could do the long haul
We could ride it out
I know the ride's rough, but try us(Try us)
See Wild Rivers LiveGet tickets as low as $90You might also like[Post-Chorus: Devan, Wrabel, Devan, Khalid Yassein & Wrabel]
You're just thinking 'bout
I'm just thinking 'bout
I'm just thinking 'bout
Love (Oh-oh-oh-oh)
I'm just thinking 'bout love (Oh-oh-oh-oh)
Thinking 'bout, thinking 'bout (Oh, I'm thinking 'bout love)
I'm just thinking 'bout love (Oh-oh-oh-oh)",0
